I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
1.654559455e-04,6.640167703e-05
1.190996118e-04,9.435028915e-05
1.403363858e-04,8.739635814e-05
8.788052219e-05,8.480940596e-05
1.647866593e-04,6.993323041e-05
1.237656252e-04,7.527327398e-05
6.796334492e-05,1.062123047e-04
7.845356595e-05,1.594893401e-04
-4.014764272e-05,1.869537809e-04
3.272854156e-05,1.519563230e-04
8.776660252e-06,1.377873996e-04
-3.654014654e-05,1.294569229e-04
3.555283183e-05,1.298271673e-04
-5.327228791e-05,1.465070964e-04
-7.897095929e-05,1.547094143e-04
-8.709731628e-05,1.388648961e-04
-1.527917339e-04,1.205521039e-04
-1.348491933e-04,9.306867287e-05
-1.098387875e-04,5.223276094e-05
-1.301451994e-04,7.302333688e-05
-1.247339533e-04,5.243686610e-05
-1.417129242e-04,2.233325358e-05
-1.839396282e-04,1.749636067e-05
-2.174466354e-04,-4.894329322e-05
-1.564182166e-04,-4.513168460e-05
-1.758892176e-04,-9.203864465e-06
-1.912305743e-04,-5.931959095e-05
-1.217055542e-04,-1.185774745e-04
-1.291578810e-04,-1.138212756e-04
-7.051232387e-05,-1.140965833e-04
-1.087423007e-04,-9.116998990e-05
-1.139304513e-04,-1.053389133e-04
-2.400409539e-05,-1.874569425e-04
-5.881644029e-05,-1.419550099e-04
-2.103265615e-05,-1.149177697e-04
2.658155609e-06,-1.639702386e-04
-1.359456746e-05,-1.682470174e-04
3.034569454e-05,-1.551366149e-04
2.612587377e-05,-1.595083304e-04
4.537376662e-05,-1.536508935e-04
7.878583710e-05,-1.459707273e-04
1.100618829e-04,-1.482918597e-04
1.125349227e-04,-1.370421669e-04
1.495972101e-04,-1.148608062e-04
1.542821992e-04,-1.053199230e-04
7.157084474e-05,-1.204192013e-04
2.009375894e-04,-8.691219409e-05
1.876040915e-04,-3.003241181e-05
1.334014378e-04,4.652247299e-05
1.607139857e-04,4.200360490e-05
1.421211346e-04,7.598053344e-05
2.092490613e-04,1.244349114e-04
1.166645525e-04,5.269793473e-05
1.706061303e-04,9.313987539e-05
1.259443670e-04,1.247719338e-04
-1.745838745e-05,1.253272931e-04
1.885391794e-05,1.458188199e-04
2.997545198e-05,1.773227123e-04
5.931959095e-05,1.652328501e-04
7.642197488e-07,1.598785748e-04
-3.609395571e-05,1.532759052e-04
-5.022015557e-06,1.580748212e-04
-1.284933478e-05,1.735823171e-04
-1.982224603e-05,1.566413121e-04
-7.151388127e-05,1.990958554e-04
-8.958933904e-05,1.816327276e-04
-1.114194456e-04,1.434217411e-04
-1.747167698e-04,8.016238280e-05
-1.134462873e-04,1.035921232e-04
-1.205331209e-04,1.323381730e-04
-1.504895918e-04,1.457713552e-05
-1.759793959e-04,3.996726718e-06
-2.027935407e-04,5.172960664e-05
-1.591713080e-04,2.379998659e-05
-2.015309146e-04,-3.032670793e-05
-1.769287483e-04,-9.574581782e-05
-1.242497965e-04,-4.793698827e-05
-1.716883708e-04,-5.500483530e-05
-1.322669850e-04,-1.387747179e-04
-1.265566971e-04,-9.157820750e-05
-1.429565600e-04,-1.419692417e-04
-8.860677190e-05,-1.736772538e-04
-3.711449972e-05,-1.487950067e-04
4.908094525e-06,-1.653989893e-04
-2.229528036e-05,-9.868403140e-05
-1.182404594e-05,-1.491320290e-04
2.147884697e-05,-1.605098805e-04
2.474932808e-05,-1.969930745e-04
2.580784349e-05,-2.180636948e-04
8.795172471e-05,-9.018267883e-05
9.680433141e-05,-1.313366229e-04
1.088562203e-04,-8.429201262e-05
1.436068560e-04,-1.061600924e-04
1.014181325e-04,-1.028658808e-04
1.683941664e-04,2.791063480e-06
2.020720422e-04,-4.724871906e-05
1.701409492e-04,-3.023652062e-05
1.653087966e-04,-3.977740107e-06
1.979803783e-04,3.144218499e-05
2.141951409e-04,3.929323793e-05
2.003774716e-04,4.518390051e-05
1.540591038e-04,3.401015420e-05
1.017504037e-04,7.726214244e-05
1.115333653e-04,1.219808692e-04
9.979950846e-05,7.577167707e-05
1.094495601e-04,1.418220927e-04
8.949915355e-05,1.843668288e-04
6.896964624e-05,1.515480981e-04
7.538244972e-05,1.413948921e-04
-1.093166520e-05,1.487760310e-04
-5.965186210e-05,1.629639301e-04
-1.431606688e-05,1.649195765e-04
1.785236418e-05,1.514721516e-04
-5.543203952e-05,1.570542809e-04
-8.774761955e-05,1.587630977e-04
-5.991293074e-05,1.215346783e-04
-8.776660252e-05,1.419882319e-04
-1.254981762e-04,1.164414571e-04
-1.713513630e-04,5.255078941e-05
-1.653277868e-04,1.131852187e-04
-1.617914968e-04,7.835862925e-05
-1.866357634e-04,-5.710287951e-06
-1.685080788e-04,9.351011613e-06
-1.720776054e-04,1.789033740e-05
-1.572773763e-04,2.350569048e-05
-1.294569229e-04,-7.385875506e-05
-1.733212412e-04,-1.285645412e-04
-1.798669546e-04,-1.071046863e-04
-8.847386198e-05,-1.256453252e-04
-5.617727220e-05,-1.389598328e-04
-9.163517097e-05,-1.279522257e-04
-9.198642510e-05,-1.167927185e-04
-7.811655087e-05,-1.925121760e-04
-5.128341945e-05,-1.464358938e-04
-4.816008368e-05,-1.084432588e-04
-1.727801191e-06,-1.454675657e-04
3.263360850e-05,-1.381054317e-04
5.070906627e-05,-2.044501452e-04
7.311352238e-05,-1.478456688e-04
1.086141419e-04,-1.524594700e-04
1.119415829e-04,-1.258114644e-04
6.041608140e-05,-7.224013098e-05
1.352574036e-04,-1.222039573e-04
1.714462996e-04,-9.356708324e-05
1.420072222e-04,-1.360595925e-04
1.824918872e-04,-5.526590394e-05
1.867306855e-04,-2.976184987e-06
1.050778446e-04,-4.165235077e-05
1.404455543e-04,4.687847468e-05
1.740285079e-04,3.072068648e-05
1.019734991e-04,2.588379175e-05
1.906324760e-04,7.921303768e-05
2.205557248e-04,1.598216040e-04
1.295328693e-04,1.556397619e-04
8.930928743e-05,1.061031289e-04
9.914920520e-05,1.057139016e-04
6.350144395e-05,8.348982374e-05
4.513168460e-05,1.544103579e-04
5.868353401e-05,1.637851092e-04
-3.085359367e-06,1.567552390e-04
-8.202308891e-06,1.505987602e-04
-4.513168460e-05,1.499674545e-04
-3.659236245e-05,1.477934566e-04
-3.040265619e-05,1.183353961e-04
-1.433837606e-04,1.193796707e-04
-1.714273094e-04,1.201961059e-04
-1.276911498e-04,1.440150809e-04
-1.390167890e-04,1.259633573e-04
-1.626316662e-04,9.793879872e-05
-1.237324032e-04,8.538850670e-05
-1.509357826e-04,5.028186206e-05
-1.860044431e-04,5.745888484e-05
-2.009375894e-04,4.401621118e-05
-1.560859528e-04,-1.883493132e-05
-1.323951437e-04,-4.074098251e-05
-1.597836381e-04,-9.540880455e-06
-1.276531839e-04,-7.971619198e-05
-1.743987523e-04,-1.425863156e-04
-1.073847452e-04,-9.399902774e-05
-7.055029710e-05,-1.208274189e-04
-1.284363825e-04,-1.277481206e-04
-6.842851872e-05,-1.457855979e-04
-6.768328603e-05,-1.487380505e-04
-6.290810416e-05,-1.115523482e-04
5.552222865e-05,-1.901150972e-04
-2.108487024e-05,-1.689732599e-04
-6.113757991e-05,-1.579086820e-04
4.306686969e-05,-2.356692421e-04
4.509371138e-05,-9.970457177e-05
1.036111134e-04,-1.309996151e-04
8.918112144e-05,-1.562520920e-04
1.286215120e-04,-3.469842341e-05
9.040577424e-05,-9.909224900e-05
1.344599586e-04,-7.207399176e-05
1.981275273e-04,-1.006539096e-04
5.914871144e-05,-9.678534843e-05
1.604007120e-04,-3.121908958e-05
1.584830461e-04,-5.524691733e-05
1.695096435e-04,-1.474801775e-05
2.133407252e-04,2.043457243e-05
1.515860786e-04,4.628039096e-05
1.383807394e-04,5.948572652e-05
