I , Q   (centre=5000.000 MHz ; BW=5.000 MHz ; fs=10.000 MSa/s)
2.654785640e-04,-1.565511338e-04
-4.393788986e-04,-1.277101401e-04
-1.067159348e-03,-5.489091564e-05
-1.372652594e-03,1.544673287e-04
-1.214430667e-03,1.963807445e-04
-7.842176128e-04,3.848772030e-04
-2.362673258e-04,6.541103940e-04
2.273387654e-04,7.140233647e-04
3.701671667e-04,8.165189647e-04
1.834364812e-04,7.601755788e-04
-2.409143490e-04,5.692250561e-04
-7.240104023e-04,3.179723863e-04
-1.093973522e-03,6.690483133e-05
-1.079410547e-03,-7.521631051e-05
-8.086916641e-04,-1.954883628e-04
-2.511624771e-04,-1.433457946e-04
4.243698204e-04,-1.161044420e-04
8.989502676e-04,-1.040193310e-04
1.178317703e-03,-1.135222337e-04
1.196540310e-03,-3.295543429e-04
9.579708567e-04,-6.139437901e-04
5.908890162e-04,-9.159434703e-04
2.368986316e-04,-1.106727868e-03
-8.235535643e-05,-1.028312254e-03
-2.567208721e-04,-8.260029135e-04
-5.160049768e-04,-4.408646200e-04
-7.489448762e-04,-2.443129961e-05
-8.276927401e-04,2.091351489e-04
-7.626675651e-04,3.364560544e-04
-6.397943362e-04,2.558095148e-04
-4.616172228e-04,-1.058040925e-05
-1.769097580e-04,-4.107989662e-04
-3.587086030e-05,-7.101737428e-04
9.763975868e-06,-7.924911333e-04
-1.466020331e-04,-7.367648068e-04
-4.189585743e-04,-5.327228573e-04
-6.671448355e-04,-2.463255951e-04
-9.294620831e-04,8.239332965e-05
-1.016578404e-03,4.029479169e-04
-9.340189281e-04,6.491073873e-04
-7.614191854e-04,8.268952952e-04
-4.924850655e-04,9.427006589e-04
-2.043931891e-04,9.908085922e-04
5.786709880e-05,1.032033702e-03
2.872706682e-04,9.359888500e-04
5.252136034e-04,6.741747493e-04
7.291226066e-04,4.404374049e-04
8.183227037e-04,1.051727813e-04
8.052692865e-04,-1.628927275e-04
5.907371524e-04,-4.171738110e-04
2.884051355e-04,-6.474175607e-04
3.365415068e-06,-8.172641974e-04
-3.099029709e-04,-9.898782009e-04
-4.193715286e-04,-9.380916017e-04
-3.243139945e-04,-8.854886401e-04
-7.090155850e-05,-7.900370983e-04
3.203504893e-04,-5.727756070e-04
6.841428112e-04,-3.491914831e-04
9.322531987e-04,-2.252929407e-04
1.025972189e-03,-2.203136391e-04
1.038783463e-03,-2.009565651e-04
1.031231484e-03,-2.532415383e-04
9.162615170e-04,-3.487832437e-04
9.035593248e-04,-3.980018664e-04
9.415519889e-04,-3.489873488e-04
9.167836397e-04,-3.123190545e-04
9.570025140e-04,-3.027971543e-04
1.006857143e-03,-1.851120614e-04
1.032589003e-03,-1.873240253e-04
1.037853188e-03,-2.812091261e-04
1.103993738e-03,-3.555900184e-04
1.146875555e-03,-3.900084121e-04
1.091220416e-03,-3.181954671e-04
1.052748295e-03,-1.371940598e-04
9.787186282e-04,-2.316867540e-05
7.540570805e-04,2.361913794e-04
5.477129598e-04,5.418745568e-04
4.011299461e-04,7.157511427e-04
3.154993465e-04,9.518713341e-04
1.815995056e-04,1.091462444e-03
9.485343617e-05,1.254445408e-03
9.658123599e-05,1.343702432e-03
1.030699859e-04,1.222889288e-03
1.861136116e-04,1.091590617e-03
3.691466118e-04,8.509943145e-04
6.080151652e-04,4.916116595e-04
7.426032680e-04,1.418600732e-04
8.914741920e-04,-1.340137678e-04
9.114625864e-04,-1.276531839e-04
8.162579034e-04,8.492332563e-05
6.916710990e-04,3.942092299e-04
3.900843440e-04,8.153844974e-04
2.138391283e-04,1.116748201e-03
5.976578177e-05,1.171995071e-03
-1.762404718e-04,9.210746503e-04
-2.232660918e-04,4.160393437e-04
-2.357451885e-04,-1.382715564e-04
-2.927578753e-04,-6.750671309e-04
-2.634706907e-04,-1.042258111e-03
-3.382597934e-04,-1.201581326e-03
-3.956617147e-04,-1.127627562e-03
-2.841853129e-04,-9.482637979e-04
-3.117779270e-04,-8.514404763e-04
-3.047338105e-04,-7.594113704e-04
-2.632476098e-04,-8.779366035e-04
-3.291651083e-04,-1.107321237e-03
-2.596021222e-04,-1.277466887e-03
-2.888703311e-04,-1.430965844e-03
-3.141797497e-04,-1.187521615e-03
-1.442239300e-04,-7.300719735e-04
-8.594386600e-05,-2.031115728e-04
7.888076652e-05,4.311196390e-04
2.210019156e-04,8.361893124e-04
1.860424236e-04,9.568695677e-04
1.850361150e-04,6.805543089e-04
1.351672108e-04,9.410820348e-05
