SIR,µ_lstm_best,µ_hybrid_best,µ_FFT,σ_lstm_best,σ_hybrid_best,σ_FFT
-40,0.725,0.025,9.755,1.274,0.830,3.072
-35,0.193,-0.339,6.671,0.677,0.444,2.938
-30,-0.072,-0.078,1.941,0.874,0.463,3.515
-25,0.170,0.055,0.819,0.424,0.242,2.550
-20,0.173,-0.043,0.181,0.305,0.242,1.743
-15,0.099,0.039,0.032,0.222,0.182,0.964
-10,0.111,0.071,-0.108,0.254,0.212,0.654
-5,0.071,0.084,-0.083,0.215,0.153,0.356
0,0.024,0.071,-0.134,0.149,0.111,0.202
5,0.035,0.037,-0.159,0.080,0.087,0.136
10,0.028,0.045,-0.104,0.068,0.062,0.078
15,0.027,0.043,-0.091,0.038,0.039,0.037
20,0.008,0.040,-0.102,0.047,0.053,0.046
25,-0.013,-0.014,-0.125,0.028,0.034,0.014
30,0.027,0.040,-0.072,0.061,0.054,0.052
40,0.044,0.039,-0.055,0.036,0.034,0.012
